z,mu,err
0.0849,,
0.1349,0.00373562703581,0.0203668668995
0.1849,0.0157665232433,0.0134187591912
0.2349,0.0176025671612,0.0109572017298
0.2849,0.0143422412125,0.0100506867005
0.3349,0.00464692247101,0.0101461357669
0.3849,-0.00972703166008,0.0108036169019
0.4349,0.00667081828269,0.0119311293607
0.4849,-0.00793101968089,0.0173164570735
0.5349,-0.0145791816259,0.0225651648302
0.5849,-0.0481651523683,0.0257125788158
0.6349,-0.0420527664258,0.0277357441587
0.6849,-0.0395160769389,0.0345551780696
0.7349,-0.0792245554229,0.0605998630724
0.7849,-0.210756519585,0.0623188399527
